iter	Accuracy	Logloss
0	0.7581030237	0.6784909818
1	0.7581030237	0.6653282557
2	0.7581030237	0.6535078468
3	0.7581030237	0.6428924033
4	0.7581030237	0.6333581963
5	0.7581030237	0.6248019068
6	0.7581030237	0.6171176278
7	0.7581030237	0.6102196672
8	0.7581030237	0.6040254087
9	0.7581030237	0.5984640036
10	0.7581030237	0.593682618
11	0.7581030237	0.5888745727
12	0.7581030237	0.5847119782
13	0.7581030237	0.5805543153
14	0.7581030237	0.5769355129
15	0.7581030237	0.5733322865
16	0.7581030237	0.5701242699
17	0.7581030237	0.5670350507
18	0.7581030237	0.5640307914
19	0.7581030237	0.5610525083
20	0.7581030237	0.558441164
21	0.7581030237	0.555901645
22	0.7581030237	0.5533602217
23	0.7581030237	0.550940623
24	0.7581030237	0.5487106704
25	0.7581030237	0.5466171419
26	0.7581030237	0.5445649215
27	0.7581155236	0.5421611429
28	0.7581280234	0.5403726399
29	0.7581030237	0.5385544009
30	0.7581155236	0.5368898709
31	0.7581780228	0.5348617713
32	0.7581530231	0.5333508038
33	0.7581280234	0.5315576133
34	0.7581530231	0.5300600246
35	0.7581155236	0.5287269847
36	0.7581530231	0.5274536119
37	0.7581030237	0.5248551092
38	0.7581530231	0.5233788582
39	0.7581405232	0.5222418606
40	0.7581655229	0.521223807
41	0.7581530231	0.5200748467
42	0.7585030187	0.5180170599
43	0.7585280184	0.5168057958
44	0.7585030187	0.51582739
45	0.7584905189	0.5149820393
46	0.7584905189	0.5139191131
47	0.7584280196	0.5130846997
48	0.7584905189	0.511451224
49	0.7585280184	0.5105526025
50	0.7587530156	0.5096809337
51	0.7686278922	0.5089803565
52	0.7686778915	0.508348382
53	0.7743403207	0.5076012722
54	0.7748903139	0.5070411229
55	0.7744153198	0.5058810788
56	0.7749028137	0.505172201
57	0.7748278147	0.5045282637
58	0.7747278159	0.5039158202
59	0.7750528118	0.5027677877
60	0.7747903151	0.5017071564
61	0.7747778153	0.5012685388
62	0.774802815	0.500347896
63	0.7749653129	0.4998323263
64	0.7748528143	0.499346639
65	0.7749903126	0.4989385875
66	0.7749278134	0.4982202859
67	0.7752403095	0.4974299638
68	0.7749903126	0.4970169318
69	0.7752403095	0.4963959435
70	0.7752528093	0.4960868653
71	0.7750778115	0.4957594768
72	0.7753028087	0.4954057215
73	0.7751778103	0.4949742327
74	0.7755903051	0.4946482114
75	0.7751278109	0.494331858
76	0.7752903089	0.4937833785
77	0.7752278097	0.4935005207
78	0.7752153098	0.4931953487
79	0.7766027925	0.4926453556
80	0.7767527906	0.4923075669
81	0.7771027862	0.4920622574
82	0.7772527843	0.4918822792
83	0.7785652679	0.4914196873
84	0.7793027587	0.4908700848
85	0.7794277572	0.4906471384
86	0.7795027562	0.4904643282
87	0.7803152461	0.4899989043
88	0.7802152473	0.4898142387
89	0.7790027625	0.4896064776
90	0.7796152548	0.4892595093
91	0.7795402557	0.4890987203
92	0.7802152473	0.4889600989
93	0.7804277447	0.4886173786
94	0.7800277497	0.4883027341
95	0.7804277447	0.4881184102
96	0.78000275	0.4878244198
97	0.7800277497	0.4875641203
98	0.7799277509	0.4872549933
99	0.7801527481	0.4870007484
100	0.7801902476	0.4867747259
101	0.7802027475	0.4865156959
102	0.7804152448	0.4862381115
103	0.7802652467	0.4860052531
104	0.7802902464	0.4858919732
105	0.7803777453	0.4856291835
106	0.7802777465	0.4853757199
107	0.7802902464	0.4851553613
108	0.7801777478	0.4849572681
109	0.7802527468	0.484678756
110	0.780240247	0.4844562002
111	0.780240247	0.4842455094
112	0.7803152461	0.4840647011
113	0.7802277472	0.4838922424
114	0.7803277459	0.4837156332
115	0.7803277459	0.4834952258
116	0.7803777453	0.4833217905
117	0.780402745	0.4831409334
118	0.7804152448	0.4829864431
119	0.7803902451	0.4829155944
120	0.7805402432	0.4827256066
121	0.7804652442	0.4826647186
122	0.7804902439	0.4824989492
123	0.7805027437	0.4823522226
124	0.7805652429	0.4821779083
125	0.7805402432	0.4819963676
126	0.7802027475	0.4818542796
127	0.7802777465	0.4817703451
128	0.7802152473	0.4816512547
129	0.7805277434	0.4814814815
130	0.7805652429	0.4813203019
131	0.7805402432	0.4811889558
132	0.7804902439	0.4810329031
133	0.7804902439	0.4808023396
134	0.7804902439	0.4806791966
135	0.7805527431	0.4804711914
136	0.7804652442	0.4803588881
137	0.7805902426	0.4801435588
138	0.7806277422	0.4801031296
139	0.7806152423	0.4799780823
140	0.7805277434	0.4798667556
141	0.7806152423	0.4797356049
142	0.7806527418	0.4795904407
143	0.7806277422	0.4794879517
144	0.7806527418	0.4794437628
145	0.7806902414	0.4793610002
146	0.780640242	0.4791837563
147	0.780877739	0.4790842946
148	0.7809152386	0.4789799991
149	0.7808902389	0.478903877
150	0.7810152373	0.4788246299
151	0.7810027375	0.4787000221
152	0.7810527368	0.4786289292
153	0.7810152373	0.4784289317
154	0.7813027337	0.4783642841
155	0.7810902364	0.4782649201
156	0.7810902364	0.4781280566
157	0.7810527368	0.4780104311
158	0.7811902351	0.477832699
159	0.7811902351	0.4777668306
160	0.7811152361	0.4776774275
161	0.7811652354	0.4776512071
162	0.7811527356	0.4776265004
163	0.7812152348	0.4775693722
164	0.7811527356	0.4774972539
165	0.7811527356	0.4774767952
166	0.7811652354	0.4774511608
167	0.7811777353	0.477428456
168	0.7812152348	0.4774116593
169	0.7811527356	0.4773486718
170	0.7812277347	0.4771918378
171	0.7811902351	0.4770703062
172	0.7811902351	0.4769563916
173	0.7812277347	0.4768774863
174	0.7812152348	0.4768583459
175	0.7812277347	0.4768057099
176	0.7812902339	0.4766283195
177	0.7812277347	0.4765665527
178	0.7811527356	0.4764950204
179	0.7812527343	0.4764444351
180	0.7812902339	0.476291019
181	0.7814277322	0.4762002487
182	0.7814777315	0.4761107478
183	0.7815527306	0.4760432682
184	0.7815027312	0.4760133858
185	0.7816652292	0.4759095296
186	0.78160273	0.4758671474
187	0.78160273	0.475832138
188	0.7816902289	0.4756980577
189	0.7817402282	0.4756375604
190	0.7817277284	0.4756226192
191	0.7816527293	0.4755639285
192	0.781677729	0.4755188607
193	0.7816902289	0.4755052867
194	0.7817027287	0.4754634903
195	0.7817527281	0.475451967
196	0.7816277297	0.4754093406
197	0.781677729	0.475367056
198	0.7816652292	0.4753312166
199	0.7815152311	0.4752839515
200	0.7815402307	0.4752682779
201	0.7816277297	0.4751671073
202	0.7816152298	0.4751445001
203	0.7815402307	0.4751085143
204	0.7814902314	0.4750621281
205	0.7815152311	0.4749835158
206	0.7815277309	0.4749737992
207	0.7815402307	0.4749420613
208	0.7815027312	0.4748934291
209	0.7817027287	0.4748208226
210	0.7817777278	0.4747927467
211	0.7817027287	0.4747134997
212	0.7818027275	0.4746731193
213	0.7817652279	0.4746120361
214	0.7817777278	0.4745583747
215	0.7818277272	0.4744850357
216	0.7818527268	0.474456081
217	0.7818277272	0.474441921
218	0.7818027275	0.4744153589
219	0.7818152273	0.4744140894
220	0.7817777278	0.4744016872
221	0.7817902276	0.474400613
222	0.7818527268	0.474369461
223	0.7818527268	0.4743241002
224	0.7818027275	0.4743109656
225	0.7818277272	0.4742107228
226	0.7817652279	0.4741859184
227	0.7819152261	0.4741408506
228	0.7818777265	0.4741311339
229	0.7819027262	0.4740929996
230	0.781840227	0.4740703437
231	0.7818527268	0.4740637031
232	0.7819277259	0.4740011551
233	0.7819152261	0.4739747394
234	0.7819527256	0.4739588704
235	0.7820152248	0.4739191248
236	0.7818777265	0.473892758
237	0.7818652267	0.4738794281
238	0.7817652279	0.4738251319
239	0.7819902251	0.4737529648
240	0.7819902251	0.4737482774
241	0.7819527256	0.4737417833
242	0.7819277259	0.4737119985
243	0.7819402257	0.4736827997
244	0.7819277259	0.473658923
245	0.7819777253	0.4736079471
246	0.7819652254	0.4735809943
247	0.7819527256	0.4735799689
248	0.7819652254	0.4735679574
249	0.7819527256	0.4735674691
250	0.782077724	0.4735263075
251	0.7821027237	0.4734969621
252	0.7820152248	0.4734748433
253	0.7821277234	0.4734137601
254	0.7821777228	0.4733949615
255	0.7821027237	0.4733261635
256	0.782002725	0.4732482348
257	0.7819652254	0.4732302174
258	0.782002725	0.4732207449
259	0.7819902251	0.473218743
260	0.7819652254	0.4731591734
261	0.7820527243	0.4731497009
262	0.7820277247	0.4731258242
263	0.7820902239	0.4731192813
264	0.7820652242	0.4731184513
265	0.782077724	0.4731170841
266	0.7821027237	0.4731100529
267	0.7821277234	0.4731014105
268	0.7820652242	0.4730844185
269	0.7821277234	0.4730630809
270	0.7821152236	0.4730439893
271	0.7821277234	0.4730379835
272	0.7822527218	0.4729720175
273	0.7823152211	0.4729647422
274	0.7823277209	0.4729640587
275	0.7823777203	0.4729524377
276	0.7821652229	0.4728853487
277	0.7822527218	0.4728612279
278	0.7822652217	0.4728137676
279	0.782240222	0.4728083477
280	0.7822652217	0.4727673814
281	0.7823152211	0.4727407704
282	0.7822777215	0.4727268546
283	0.7823402207	0.4726479493
284	0.7823902201	0.4725951668
285	0.7823527206	0.472551222
286	0.7823652204	0.4725328629
287	0.7823277209	0.472428079
288	0.7823777203	0.4723763707
289	0.7823652204	0.4723755406
290	0.7823652204	0.4723750035
